Removed Pin From Net: NetName=VDDA_ADC_3V3 Pin=C?-1
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=DDR Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=eMMC Member=C?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=DDR Member=R?
Removed Member From Class: ClassName=eMMC Member=R?
Removed Member From Class: ClassName=eMMC Member=R?
Removed Member From Class: ClassName=eMMC Member=R?
Removed Member From Class: ClassName=eMMC Member=R?
Removed Member From Class: ClassName=eMMC Member=R?
Removed Member From Class: ClassName=eMMC Member=R?
Removed Member From Class: ClassName=eMMC Member=R?
Removed Member From Class: ClassName=eMMC Member=R?
Removed Member From Class: ClassName=eMMC Member=R?
Removed Member From Class: ClassName=eMMC Member=R?
Removed Member From Class: ClassName=eMMC Member=R?
Removed Member From Class: ClassName=eMMC Member=R?
Removed Member From Class: ClassName=eMMC Member=R?
Removed Member From Class: ClassName=eMMC Member=R?
Change Component Comment : Designator=C? Old Comment=0.1uF New Comment=0.22uF
Change Component Comment : Designator=C? Old Comment=0.1uF New Comment=1uF
Change Component Comment : Designator=C? Old Comment=0.1uF New Comment=1uF
Change Component Comment : Designator=C? Old Comment=100nF New Comment=0.1uF
Change Component Comment : Designator=C? Old Comment=100nF New Comment=0.22uF
Change Component Designator: OldDesignator=C2 NewDesignator=C60
Change Component Designator: OldDesignator=C4 NewDesignator=C81
Change Component Designator: OldDesignator=C6 NewDesignator=C78
Change Component Designator: OldDesignator=C7 NewDesignator=C80
Change Component Designator: OldDesignator=C? NewDesignator=C1
Change Component Designator: OldDesignator=C? NewDesignator=C2
Change Component Designator: OldDesignator=C? NewDesignator=C3
Change Component Designator: OldDesignator=C? NewDesignator=C4
Change Component Designator: OldDesignator=C? NewDesignator=C5
Change Component Designator: OldDesignator=C? NewDesignator=C6
Change Component Designator: OldDesignator=C? NewDesignator=C7
Change Component Designator: OldDesignator=C? NewDesignator=C8
Change Component Designator: OldDesignator=C? NewDesignator=C9
Change Component Designator: OldDesignator=C? NewDesignator=C10
Change Component Designator: OldDesignator=C? NewDesignator=C11
Change Component Designator: OldDesignator=C? NewDesignator=C12
Change Component Designator: OldDesignator=C? NewDesignator=C13
Change Component Designator: OldDesignator=C? NewDesignator=C14
Change Component Designator: OldDesignator=C? NewDesignator=C15
Change Component Designator: OldDesignator=C? NewDesignator=C16
Change Component Designator: OldDesignator=C? NewDesignator=C17
Change Component Designator: OldDesignator=C? NewDesignator=C18
Change Component Designator: OldDesignator=C? NewDesignator=C19
Change Component Designator: OldDesignator=C? NewDesignator=C20
Change Component Designator: OldDesignator=C? NewDesignator=C21
Change Component Designator: OldDesignator=C? NewDesignator=C22
Change Component Designator: OldDesignator=C? NewDesignator=C23
Change Component Designator: OldDesignator=C? NewDesignator=C24
Change Component Designator: OldDesignator=C? NewDesignator=C25
Change Component Designator: OldDesignator=C? NewDesignator=C26
Change Component Designator: OldDesignator=C? NewDesignator=C27
Change Component Designator: OldDesignator=C? NewDesignator=C28
Change Component Designator: OldDesignator=C? NewDesignator=C29
Change Component Designator: OldDesignator=C? NewDesignator=C30
Change Component Designator: OldDesignator=C? NewDesignator=C31
Change Component Designator: OldDesignator=C? NewDesignator=C32
Change Component Designator: OldDesignator=C? NewDesignator=C33
Change Component Designator: OldDesignator=C? NewDesignator=C34
Change Component Designator: OldDesignator=C? NewDesignator=C35
Change Component Designator: OldDesignator=C? NewDesignator=C36
Change Component Designator: OldDesignator=C? NewDesignator=C37
Change Component Designator: OldDesignator=C? NewDesignator=C38
Change Component Designator: OldDesignator=C? NewDesignator=C39
Change Component Designator: OldDesignator=C? NewDesignator=C40
Change Component Designator: OldDesignator=C? NewDesignator=C41
Change Component Designator: OldDesignator=C? NewDesignator=C42
Change Component Designator: OldDesignator=C? NewDesignator=C43
Change Component Designator: OldDesignator=C? NewDesignator=C44
Change Component Designator: OldDesignator=C? NewDesignator=C45
Change Component Designator: OldDesignator=C? NewDesignator=C47
Change Component Designator: OldDesignator=C? NewDesignator=C48
Change Component Designator: OldDesignator=C? NewDesignator=C49
Change Component Designator: OldDesignator=C? NewDesignator=C51
Change Component Designator: OldDesignator=C? NewDesignator=C52
Change Component Designator: OldDesignator=C? NewDesignator=C54
Change Component Designator: OldDesignator=C? NewDesignator=C55
Change Component Designator: OldDesignator=C? NewDesignator=C56
Change Component Designator: OldDesignator=C? NewDesignator=C58
Change Component Designator: OldDesignator=C? NewDesignator=C59
Change Component Designator: OldDesignator=C? NewDesignator=C61
Change Component Designator: OldDesignator=C? NewDesignator=C62
Change Component Designator: OldDesignator=C? NewDesignator=C63
Change Component Designator: OldDesignator=C? NewDesignator=C64
Change Component Designator: OldDesignator=C? NewDesignator=C65
Change Component Designator: OldDesignator=C? NewDesignator=C66
Change Component Designator: OldDesignator=C? NewDesignator=C67
Change Component Designator: OldDesignator=C? NewDesignator=C68
Change Component Designator: OldDesignator=C? NewDesignator=C69
Change Component Designator: OldDesignator=C? NewDesignator=C70
Change Component Designator: OldDesignator=C? NewDesignator=C71
Change Component Designator: OldDesignator=C? NewDesignator=C72
Change Component Designator: OldDesignator=C? NewDesignator=C73
Change Component Designator: OldDesignator=C? NewDesignator=C74
Change Component Designator: OldDesignator=C? NewDesignator=C75
Change Component Designator: OldDesignator=C? NewDesignator=C76
Change Component Designator: OldDesignator=C? NewDesignator=C77
Change Component Designator: OldDesignator=C? NewDesignator=C79
Change Component Designator: OldDesignator=C? NewDesignator=C82
Change Component Designator: OldDesignator=C? NewDesignator=C83
Change Component Designator: OldDesignator=C? NewDesignator=C84
Change Component Designator: OldDesignator=C? NewDesignator=C85
Change Component Designator: OldDesignator=C? NewDesignator=C86
Change Component Designator: OldDesignator=C? NewDesignator=C87
Change Component Designator: OldDesignator=C? NewDesignator=C88
Change Component Designator: OldDesignator=C? NewDesignator=C89
Change Component Designator: OldDesignator=C? NewDesignator=C90
Change Component Designator: OldDesignator=C? NewDesignator=C91
Change Component Designator: OldDesignator=C? NewDesignator=C92
Change Component Designator: OldDesignator=C? NewDesignator=C93
Change Component Designator: OldDesignator=C? NewDesignator=C94
Change Component Designator: OldDesignator=C? NewDesignator=C95
Change Component Designator: OldDesignator=D? NewDesignator=D1
Change Component Designator: OldDesignator=D? NewDesignator=D2
Change Component Designator: OldDesignator=D? NewDesignator=D3
Change Component Designator: OldDesignator=D? NewDesignator=D4
Change Component Designator: OldDesignator=D? NewDesignator=D5
Change Component Designator: OldDesignator=L? NewDesignator=L2
Change Component Designator: OldDesignator=PWR NewDesignator=PWR1
Change Component Designator: OldDesignator=Q? NewDesignator=Q1
Change Component Designator: OldDesignator=R2 NewDesignator=R24
Change Component Designator: OldDesignator=R3 NewDesignator=R23
Change Component Designator: OldDesignator=R4 NewDesignator=R21
Change Component Designator: OldDesignator=R5 NewDesignator=R28
Change Component Designator: OldDesignator=R6 NewDesignator=R29
Change Component Designator: OldDesignator=R7 NewDesignator=R27
Change Component Designator: OldDesignator=R? NewDesignator=R1
Change Component Designator: OldDesignator=R? NewDesignator=R2
Change Component Designator: OldDesignator=R? NewDesignator=R3
Change Component Designator: OldDesignator=R? NewDesignator=R4
Change Component Designator: OldDesignator=R? NewDesignator=R5
Change Component Designator: OldDesignator=R? NewDesignator=R6
Change Component Designator: OldDesignator=R? NewDesignator=R7
Change Component Designator: OldDesignator=R? NewDesignator=R8
Change Component Designator: OldDesignator=R? NewDesignator=R9
Change Component Designator: OldDesignator=R? NewDesignator=R10
Change Component Designator: OldDesignator=R? NewDesignator=R11
Change Component Designator: OldDesignator=R? NewDesignator=R12
Change Component Designator: OldDesignator=R? NewDesignator=R13
Change Component Designator: OldDesignator=R? NewDesignator=R14
Change Component Designator: OldDesignator=R? NewDesignator=R15
Change Component Designator: OldDesignator=R? NewDesignator=R16
Change Component Designator: OldDesignator=R? NewDesignator=R17
Change Component Designator: OldDesignator=R? NewDesignator=R19
Change Component Designator: OldDesignator=R? NewDesignator=R20
Change Component Designator: OldDesignator=R? NewDesignator=R22
Change Component Designator: OldDesignator=R? NewDesignator=R25
Change Component Designator: OldDesignator=R? NewDesignator=R26
Change Component Designator: OldDesignator=R? NewDesignator=R30
Change Component Designator: OldDesignator=R? NewDesignator=R31
Change Component Designator: OldDesignator=R? NewDesignator=R32
Change Component Designator: OldDesignator=R? NewDesignator=R33
Change Component Designator: OldDesignator=R? NewDesignator=R34
Change Component Designator: OldDesignator=R? NewDesignator=R35
Change Component Designator: OldDesignator=TP? NewDesignator=TP1
Change Component Designator: OldDesignator=TP? NewDesignator=TP3
Change Component Designator: OldDesignator=U1 NewDesignator=U2
Change Component Designator: OldDesignator=U2 NewDesignator=U5
Change Component Designator: OldDesignator=U3 NewDesignator=U4
Change Component Designator: OldDesignator=U4 NewDesignator=U6
Change Component Designator: OldDesignator=U5 NewDesignator=U7
Change Component Designator: OldDesignator=U6 NewDesignator=U8
Change Component Designator: OldDesignator=U10 NewDesignator=U1
Change Component Designator: OldDesignator=U? NewDesignator=U3
Change Component Designator: OldDesignator=X? NewDesignator=X1
Change Component Designator: OldDesignator=Y? NewDesignator=Y1
Added Component: Designator=C46(0603_C _MINI)
Added Component: Designator=C50(0402_C)
Added Component: Designator=C53(0402_C)
Added Component: Designator=C57(0402_C)
Added Component: Designator=R18(0402_R)
Added Pin To Net: NetName=GND Pin=C1-1
Added Pin To Net: NetName=DRAM_1V35 Pin=C1-2
Added Pin To Net: NetName=GND Pin=C2-1
Added Pin To Net: NetName=DRAM_1V35 Pin=C2-2
Added Pin To Net: NetName=GND Pin=C3-1
Added Pin To Net: NetName=DRAM_1V35 Pin=C3-2
Added Pin To Net: NetName=GND Pin=C4-1
Added Pin To Net: NetName=DRAM_1V35 Pin=C4-2
Added Pin To Net: NetName=GND Pin=C5-1
Added Pin To Net: NetName=DRAM_1V35 Pin=C5-2
Added Pin To Net: NetName=GND Pin=C6-1
Added Pin To Net: NetName=DRAM_1V35 Pin=C6-2
Added Pin To Net: NetName=DRAM_VREF Pin=C7-1
Added Pin To Net: NetName=GND Pin=C7-2
Added Pin To Net: NetName=GND Pin=C8-1
Added Pin To Net: NetName=DRAM_1V35 Pin=C8-2
Added Pin To Net: NetName=GND Pin=C9-1
Added Pin To Net: NetName=DRAM_1V35 Pin=C9-2
Added Pin To Net: NetName=DRAM_VREF Pin=C10-1
Added Pin To Net: NetName=GND Pin=C10-2
Added Pin To Net: NetName=GND Pin=C11-1
Added Pin To Net: NetName=DRAM_1V35 Pin=C11-2
Added Pin To Net: NetName=GND Pin=C12-1
Added Pin To Net: NetName=DRAM_1V35 Pin=C12-2
Added Pin To Net: NetName=GND Pin=C13-1
Added Pin To Net: NetName=DRAM_1V35 Pin=C13-2
Added Pin To Net: NetName=GND Pin=C14-1
Added Pin To Net: NetName=VDD_HIGH_CAP Pin=C14-2
Added Pin To Net: NetName=GND Pin=C15-1
Added Pin To Net: NetName=DRAM_VREF Pin=C15-2
Added Pin To Net: NetName=DRAM_1V35 Pin=C16-1
Added Pin To Net: NetName=GND Pin=C16-2
Added Pin To Net: NetName=GND Pin=C17-1
Added Pin To Net: NetName=DRAM_1V35 Pin=C17-2
Added Pin To Net: NetName=GND Pin=C18-1
Added Pin To Net: NetName=DRAM_1V35 Pin=C18-2
Added Pin To Net: NetName=GND Pin=C19-1
Added Pin To Net: NetName=DRAM_1V35 Pin=C19-2
Added Pin To Net: NetName=GND Pin=C20-1
Added Pin To Net: NetName=DRAM_1V35 Pin=C20-2
Added Pin To Net: NetName=GND Pin=C21-1
Added Pin To Net: NetName=DRAM_1V35 Pin=C21-2
Added Pin To Net: NetName=GND Pin=C22-1
Added Pin To Net: NetName=DRAM_1V35 Pin=C22-2
Added Pin To Net: NetName=GND Pin=C23-1
Added Pin To Net: NetName=DRAM_1V35 Pin=C23-2
Added Pin To Net: NetName=DRAM_VREF Pin=C24-1
Added Pin To Net: NetName=DRAM_1V35 Pin=C24-2
Added Pin To Net: NetName=GND Pin=C25-1
